time, unkown, behaviour
0,1,0.0072335
0.085,1,0.0084069
0.17,1,-0.057411
0.255,1,0.043427
0.34,1,-0.051165
0.425,1,0.056147
0.51,1,-0.014397
0.595,1,0.0045676
0.68,1,0.0038742
0.765,1,0.032365
0.85,1,-0.03669
0.935,1,-0.0086645
1.02,1,-0.0075791
1.105,1,0.047085
1.19,1,0.060995
1.275,1,0.019201
1.36,1,0.030192
1.445,1,0.0027442
1.53,1,-0.095221
1.615,1,-0.34434
1.7,1,-0.58475
1.785,1,-0.75499
1.87,1,-0.91646
1.955,1,-1.0691
2.04,1,-1.2467
2.125,1,-1.3634
2.21,1,-1.5565
2.295,1,-1.6421
2.38,1,-1.7561
2.465,1,-1.8902
2.55,1,-1.915
2.635,1,-2.0903
2.72,1,-2.1209
2.805,1,-2.2261
2.89,1,-2.1929
2.975,1,-2.3036
3.06,1,-2.3796
3.145,1,-2.3818
3.23,1,-2.5112
3.315,1,-2.4976
3.4,1,-2.5033
3.485,1,-2.5562
3.57,1,-2.6035
3.655,1,-2.6092
3.74,1,-2.6994
3.825,1,-2.697
3.91,1,-2.7535
3.995,1,-2.7399
4.08,1,-2.7534
4.165,1,-2.7611
4.25,1,-2.8489
4.335,1,-2.7468
4.42,1,-2.8156
4.505,1,-2.8745
4.59,1,-2.8841
4.675,1,-2.8397
4.76,1,-2.9028
4.845,1,-2.8574
4.93,1,-2.9336
5.015,1,-2.9318
5.1,1,-2.8964
5.185,1,-2.9293
5.27,1,-2.9046
5.355,1,-2.9168
5.44,1,-2.9384
5.525,1,-2.9293
5.61,1,-2.9809
5.695,1,-2.9557
5.78,1,-2.9482
5.865,1,-3.006
5.95,1,-2.9423
6.035,1,-2.98
6.12,1,-2.9858
6.205,1,-3.0266
6.29,1,-2.9593
6.375,1,-2.957
6.46,1,-3.0034
6.545,1,-2.9882
6.63,1,-2.9679
6.715,1,-2.9573
6.8,1,-2.9621
6.885,1,-2.9834
6.97,1,-3.0181
7.055,1,-2.967
7.14,1,-2.9666
7.225,1,-3.0407
7.31,1,-3.0129
7.395,1,-2.9803
7.48,1,-3.0109
7.565,1,-3.0365
7.65,1,-2.992
7.735,1,-2.9528
7.82,1,-2.9939
7.905,1,-2.968
7.99,1,-3.0106
8.075,1,-3.0165
8.16,1,-2.9751
8.245,1,-2.9745
8.33,1,-2.985
8.415,1,-2.9838
8.5,1,-3.0185
