time,behav
0,0
0.085,0
0.17,0
0.255,0
0.34,0
0.425,0
0.51,0
0.595,0
0.68,0
0.765,0
0.85,0
0.935,0
1.02,0
1.105,0
1.19,0
1.275,0
1.36,0
1.445,0
1.53,0
1.615,-0.22187
1.7,-0.44725
1.785,-0.65461
1.87,-0.8454
1.955,-1.0209
2.04,-1.1824
2.125,-1.331
2.21,-1.4677
2.295,-1.5935
2.38,-1.7092
2.465,-1.8156
2.55,-1.9136
2.635,-2.0037
2.72,-2.0866
2.805,-2.1629
2.89,-2.2331
2.975,-2.2977
3.06,-2.3571
3.145,-2.4117
3.23,-2.462
3.315,-2.5083
3.4,-2.5509
3.485,-2.59
3.57,-2.6261
3.655,-2.6592
3.74,-2.6897
3.825,-2.7178
3.91,-2.7436
3.995,-2.7674
4.08,-2.7892
4.165,-2.8093
4.25,-2.8278
4.335,-2.8448
4.42,-2.8605
4.505,-2.8749
4.59,-2.8882
4.675,-2.9004
4.76,-2.9116
4.845,-2.9219
4.93,-2.9314
5.015,-2.9401
5.1,-2.9482
5.185,-2.9556
5.27,-2.9624
5.355,-2.9686
5.44,-2.9744
5.525,-2.9797
5.61,-2.9846
5.695,-2.9891
5.78,-2.9932
5.865,-2.997
5.95,-3.0005
6.035,-3.0037
6.12,-3.0067
6.205,-3.0094
6.29,-3.0119
6.375,-3.0142
6.46,-3.0163
6.545,-3.0183
6.63,-3.0201
6.715,-3.0217
6.8,-3.0232
6.885,-3.0246
6.97,-3.0259
7.055,-3.0271
7.14,-3.0282
7.225,-3.0292
7.31,-3.0301
7.395,-3.0309
7.48,-3.0317
7.565,-3.0324
7.65,-3.0331
7.735,-3.0337
7.82,-3.0343
7.905,-3.0348
7.99,-3.0353
8.075,-3.0357
8.16,-3.0361
8.245,-3.0365
8.33,-3.0368
8.415,-3.0371
8.5,-3.0374
